Player Name,Position,Games Played,Minutes Played,Points,Rebounds,Assists,Steals,Blocks
Mike Conley Jr.,Point Guard,49,25.20,8.18,2.65,4.61,1.20,0.18
Rudy Gobert,Center,55,33.30,10.98,10.42,1.84,0.69,1.55
Julius Randle,Power Forward,48,32.57,18.85,7.17,4.46,0.73,0.23
Joe Ingles,Small Forward,15,6.84,1.00,0.73,1.33,0.13,0.00
PJ Dozier,Shooting Guard,9,3.88,0.78,0.56,0.56,0.11,0.00
Donte DiVincenzo,Shooting Guard,40,26.43,11.00,3.65,3.60,1.20,0.18
Luka Garza,Center,25,5.96,3.56,1.84,0.24,0.08,0.04
Nickeil Alexander-Walker,Shooting Guard,58,24.93,9.10,3.10,2.50,0.55,0.31
Naz Reid,Center,57,27.05,14.74,5.75,2.05,0.74,0.96
Tristen Newton,Point Guard,3,2.68,0.00,1.33,0.33,0.33,0.00
Anthony Edwards,Shooting Guard,56,36.80,27.66,5.88,4.52,1.18,0.64
Jesse Edwards,Center,0,--,--,--,--,--,--
Terrence Shannon Jr.,Shooting Guard,18,9.26,3.50,1.06,1.06,0.28,0.11
Jaden McDaniels,Small Forward,58,32.10,11.72,5.71,1.81,1.40,0.88
Jaylen Clark,Shooting Guard,16,14.93,5.06,1.56,0.50,1.00,0.06
Daishen Nix,Shooting Guard,3,4.41,0.33,1.33,1.00,0.00,0.00
Josh Minott,Small Forward,34,6.61,2.41,1.09,0.41,0.35,0.32
Leonard Miller,Small Forward,8,2.79,1.75,1.25,0.00,0.13,0.13
Rob Dillingham,Point Guard,33,12.50,5.58,1.15,2.42,0.39,0.00
TEAM AVERAGE PER GAME,,59,241.27,112.10,44.31,25.25,7.80,4.97
